timestamp, power.draw.instant [W], clocks.current.sm [MHz]
2023/08/30 15:31:21.864, 77.18 W, 1755 MHz
2023/08/30 15:31:21.870, 77.18 W, 1755 MHz
2023/08/30 15:31:21.874, 77.18 W, 1755 MHz
2023/08/30 15:31:21.877, 77.18 W, 1755 MHz
2023/08/30 15:31:21.880, 77.18 W, 1755 MHz
2023/08/30 15:31:21.884, 77.18 W, 1755 MHz
2023/08/30 15:31:21.890, 77.18 W, 1755 MHz
2023/08/30 15:31:21.894, 77.18 W, 1755 MHz
2023/08/30 15:31:21.897, 77.18 W, 1755 MHz
2023/08/30 15:31:21.901, 77.18 W, 1755 MHz
2023/08/30 15:31:21.904, 77.18 W, 1755 MHz
2023/08/30 15:31:21.910, 77.18 W, 1755 MHz
2023/08/30 15:31:21.914, 77.18 W, 1755 MHz
2023/08/30 15:31:21.917, 77.18 W, 1755 MHz
2023/08/30 15:31:21.921, 77.72 W, 1755 MHz
2023/08/30 15:31:21.924, 77.72 W, 1755 MHz
2023/08/30 15:31:21.939, 77.72 W, 1755 MHz
2023/08/30 15:31:21.943, 77.72 W, 1755 MHz
2023/08/30 15:31:21.946, 77.72 W, 1755 MHz
2023/08/30 15:31:21.951, 77.72 W, 1755 MHz
2023/08/30 15:31:21.955, 77.72 W, 1755 MHz
2023/08/30 15:31:21.958, 77.72 W, 1755 MHz
2023/08/30 15:31:21.962, 77.72 W, 1755 MHz
2023/08/30 15:31:21.965, 77.72 W, 1755 MHz
2023/08/30 15:31:21.970, 77.72 W, 1755 MHz
2023/08/30 15:31:21.974, 77.72 W, 1755 MHz
2023/08/30 15:31:21.977, 77.72 W, 1755 MHz
2023/08/30 15:31:21.980, 77.72 W, 1755 MHz
2023/08/30 15:31:21.984, 77.72 W, 1755 MHz
2023/08/30 15:31:21.990, 77.72 W, 1755 MHz
2023/08/30 15:31:21.994, 77.72 W, 1755 MHz
2023/08/30 15:31:21.997, 77.72 W, 1755 MHz
2023/08/30 15:31:22.001, 77.72 W, 1755 MHz
2023/08/30 15:31:22.004, 77.72 W, 1755 MHz
2023/08/30 15:31:22.010, 77.72 W, 1755 MHz
2023/08/30 15:31:22.014, 77.72 W, 1755 MHz
